id,title,parent_id,path,level,url_key,desc.,meta_title,meta_keywords,meta_desc.,product_ids
550,"For Sony Xperia M4",127,1/2/89/94/127/550,5,for-sony-xperia-m4,"This is a Sony Xperia M4 bag&case catalog,contains all the main models of Sony Xperia M4's bag or case in the market.Here you can find leather case/silicone case/colorful case/clear case/PU case/plastic case or other kind you like.We provide those with good quality and good price.If you want more,we also have wholesale price.For further details please feel free to ask the sales or leave your email address,we will give you the precise price for the products.","Sony Xperia M4 bag&case","sony fashion case/sony wallet case/functional case/leather case/silicone case/colorful case/clear case/pu case/plastic case/slim or other kind you like.","This Sony Xperia M4 bag&case catalog contains all the main model of Sony Xperia M4's bag or case in the market. leather case/silicone case/colorful case/clear case/pu case/plastic case or other kind you like.you can find other phone accessories in other catalogs:usb/cable/screen protector/headphone/glass ect.all products are good,not only the price but also the quality.
we choose or produce products very careful,first the quality must nice,the price must keep relatively low!
But if you have specific demonds,we will find a way to fulfill you.we do retail,we do wholesale,different quantity different price.promotion is very common here.",
519,"For HTC Desire X",156,1/2/89/94/156/519,5,for-htc-desire-x,"This is a HTC Desire X bag&case catalog,contains all the main models of HTC Desire X's bag or case in the market.Here you can find leather case/silicone case/colorful case/clear case/PU case/plastic case or other kind you like.We provide those with good quality and good price.If you want more,we also have wholesale price.For further details please feel free to ask the sales or leave your email address,we will give you the precise price for the products.","HTC Desire X bag&case","htc fashion case/htc wallet case/functional case/leather case/silicone case/colorful case/clear case/pu case/plastic case/slim or other kind you like.","This HTC Desire X bag&case catalog contains all the main model of HTC Desire X's bag or case in the market. leather case/silicone case/colorful case/clear case/pu case/plastic case or other kind you like.you can find other phone accessories in other catalogs:usb/cable/screen protector/headphone/glass ect.all products are good,not only the price but also the quality.
we choose or produce products very careful,first the quality must nice,the price must keep relatively low!
But if you have specific demonds,we will find a way to fulfill you.we do retail,we do wholesale,different quantity different price.promotion is very common here.",
506,"For HTC Desire 10 Lifestyle",156,1/2/89/94/156/506,5,for-htc-desire-10-lifestyle,"This is a HTC Desire 10 Lifestyle bag&case catalog,contains all the main models of HTC Desire 10 Lifestyle's bag or case in the market.Here you can find leather case/silicone case/colorful case/clear case/PU case/plastic case or other kind you like.We provide those with good quality and good price.If you want more,we also have wholesale price.For further details please feel free to ask the sales or leave your email address,we will give you the precise price for the products.","HTC Desire 10 Lifestyle bag&case ","htc fashion case/htc wallet case/functional case/leather case/silicone case/colorful case/clear case/pu case/plastic case/slim or other kind you like.","This HTC Desire 10 Lifestyle bag&case catalog contains all the main model of HTC Desire 10 Lifestyle's bag or case in the market. leather case/silicone case/colorful case/clear case/pu case/plastic case or other kind you like.you can find other phone accessories in other catalogs:usb/cable/screen protector/headphone/glass ect.all products are good,not only the price but also the quality.
we choose or produce products very careful,first the quality must nice,the price must keep relatively low!
But if you have specific demonds,we will find a way to fulfill you.we do retail,we do wholesale,different quantity different price.promotion is very common here.",
262,"For iPad",131,1/2/91/131/262,4,for-ipad,,"Buy Tempered Glass Screen Protectors for iPad - Aswanu","Aswanu, Mobile Phone Parts Store, Mobile Phone Accessories, Buy Mobile Phones Accessories Online, Buy Screen Protectors for iPad, Tempered Glass Screen Protectors for iPad","Buy Screen Protectors for iPad. Our high quality iPad tempered glass screen protectors provide accuracy, maximum clarity, and better strength. Buy now!!",1470/1471/1472/1486
263,"For Samsung",131,1/2/91/131/263,4,for-samsung,,,,,
264,"For Amazon Kindle",131,1/2/91/131/264,4,for-amazon-kindle,,,,,
265,"For Acer",131,1/2/91/131/265,4,for-acer,,,,,
266,"For iPad",132,1/2/91/132/266,4,for-ipad,,,,,
267,"For Samsung",132,1/2/91/132/267,4,for-samsung,,,,,
268,"For Amazon Kindle",132,1/2/91/132/268,4,for-amazon-kindle,,,,,
295,"For iPhone 6 Plus",230,1/2/90/230/295,4,for-iphone-6-plus,"Aswanu also provides iPhone 6 plus parts like iPhone 6 Plus LCD display screen, iPhone 6 Plus battery, iPhone 6 Plus back camera, iPhone 6 Plus light ic, iPhone 6 Plus camera lens, iPhone 6 Plus sim card tray, iPhone 6 plus volume flex and other iPhone parts for wholesale. All on original new. Our products can be used for iPhone 6 Plus repair parts or iPhone 6 Plus assembly. ","Aswanu has iPhone 6 Plus parts of or original new for iPhone 6 Plus repair or assembly","iPhone 6 plus screen, LCD iPhone 6 Plus display screen, iPhone 6 plus repair parts, iPhone 6 Plus screw kit",,59/60/63/64/79/88/90/121/129/311/312/527/528/530/531/533/536/537/540/543/547/550/553/556/559/560/563/568/571/574/576/579/581/582/639/788/790/791/793/795/796/1084/1087/1088/1089/1090/1091/1092/1093/1094/1285/1404/1405/1427/1462/1629/1851/2195/2237/2322/2325/2348/2605
469,"For Samsung Ace 2 I8160",103,1/2/89/94/103/469,5,for-samsung-ace-2-i8160,"This is a Samsung Ace 2 I8160 bag&case catalog,contains all the main models of Samsung Ace 2 I8160's bag or case in the market.Here you can find leather case/silicone case/colorful case/clear case/PU case/plastic case or other kind you like.We provide those with good quality and good price.If you want more,we also have wholesale price.For further details please feel free to ask the sales or leave your email address,we will give you the precise price for the products.","Samsung Ace 2 I8160 bag&case","samsung fashion case/samsung wallet case/functional case/leather case/silicone case/colorful case/clear case/pu case/plastic case or other kind you like.","This Samsung Ace 2 I8160 bag&case catalog contains all the main model of Samsung Ace 2 I8160's bag or case in the market. leather case/silicone case/colorful case/clear case/pu case/plastic case or other kind you like.you can find other phone accessories in other catalogs:usb/cable/screen protector/headphone/glass ect.all products are good,not only the price but also the quality.
we choose or produce products very careful,first the quality must nice,the price must keep relatively low!
But if you have specific demonds,we will find a way to fulfill you.we do retail,we do wholesale,different quantity different price.promotion is very common here.",
472,"For Samsung SM-A310F A3 (2016)",116,1/2/90/116/472,4,for-samsung-sm-a310f-a3-2016,,,,,337/659/661/665/667/671/672/673/676/679/680/681/1797/1798/1799
551,"For Sony Xperia Z3 Compact",127,1/2/89/94/127/551,5,for-sony-xperia-z3-compact,"This is a Sony Xperia Z3 Compact bag&case catalog,contains all the main models of Sony Xperia Z3 Compact's bag or case in the market.Here you can find leather case/silicone case/colorful case/clear case/PU case/plastic case or other kind you like.We provide those with good quality and good price.If you want more,we also have wholesale price.For further details please feel free to ask the sales or leave your email address,we will give you the precise price for the products.","Sony Xperia Z3 Compact bag&case","sony fashion case/sony wallet case/functional case/leather case/silicone case/colorful case/clear case/pu case/plastic case/slim or other kind you like.","This Sony Xperia Z3 Compact bag&case catalog contains all the main model of Sony Xperia Z3 Compact's bag or case in the market. leather case/silicone case/colorful case/clear case/pu case/plastic case or other kind you like.you can find other phone accessories in other catalogs:usb/cable/screen protector/headphone/glass ect.all products are good,not only the price but also the quality.
we choose or produce products very careful,first the quality must nice,the price must keep relatively low!
But if you have specific demonds,we will find a way to fulfill you.we do retail,we do wholesale,different quantity different price.promotion is very common here.",
557,"For Sony Xperia Z Ultra",127,1/2/89/94/127/557,5,for-sony-xperia-z-ultra,"This is a Sony Xperia Z Ultra bag&case catalog,contains all the main models of Sony Xperia Z Ultra's bag or case in the market.Here you can find leather case/silicone case/colorful case/clear case/PU case/plastic case or other kind you like.We provide those with good quality and good price.If you want more,we also have wholesale price.For further details please feel free to ask the sales or leave your email address,we will give you the precise price for the products.","Sony Xperia Z Ultra bag&case","sony fashion case/sony wallet case/functional case/leather case/silicone case/colorful case/clear case/pu case/plastic case/slim or other kind you like.","This Sony Xperia Z Ultra bag&case catalog contains all the main model of Sony Xperia Z Ultra's bag or case in the market. leather case/silicone case/colorful case/clear case/pu case/plastic case or other kind you like.you can find other phone accessories in other catalogs:usb/cable/screen protector/headphone/glass ect.all products are good,not only the price but also the quality.
we choose or produce products very careful,first the quality must nice,the price must keep relatively low!
But if you have specific demonds,we will find a way to fulfill you.we do retail,we do wholesale,different quantity different price.promotion is very common here.",
661,"For HTC Desire 601",155,1/2/89/95/155/661,5,for-htc-desire-601,"This is a HTC Desire 601 Screen Protector catalog,varying kind of selection. We pride ourselves in offering the good quality parts at appropriate prices.We believe in here you can find your precious phone a good item. If you have special demands,please feel free to contact us.We will do our best to fulfill you.","HTC Desire 601","9h/super glass/tempered glass/flexible/2.5D/3D/full cover/black/crystal clear/white/samsung screen protector/iphone glass/huawei/mi/sony/htc/oneplus/anti-scretch/super strength/0.33mm/0.2mm/ultra thin/ultra strong","This is a HTC Desire 601 Screen Protector catalog,vary kind of selection.(9h/super glass/tempered glass/flexible/2.5D/3D/full cover/black/crystal clear/white/samsung screen protector/iphone glass/huawei/mi/sony/htc/oneplus/anti-scretch/super strength/0.33mm/0.2mm/ultra thin/ultra strong) We pride ourselves in offering the good quality parts at appropriate prices.We believe in here you can find your precious phone a good item. If you have special demands,please feel free to contact us.We will do our best to fulfill you.",
761,"For Samsung Galaxy S3 LTE",191,1/2/89/99/191/761,5,for-samsung-galaxy-s3-lte,,,,,
771,"For Samsung Galaxy Note Edge",191,1/2/89/99/191/771,5,for-samsung-galaxy-note-edge,,,,,
772,"For Samsung Galaxy Note 1",191,1/2/89/99/191/772,5,for-samsung-galaxy-note-1,,,,,
778,"For Samsung Galaxy Trend Plus S7580",191,1/2/89/99/191/778,5,for-samsung-galaxy-trend-plus-s7580,,,,,
792,"For HTC One S",192,1/2/89/99/192/792,5,for-htc-one-s,,,,,
807,"For LG Nexus 5",193,1/2/89/99/193/807,5,for-lg-nexus-5,,,,,
808,"For LG Nexus 4",193,1/2/89/99/193/808,5,for-lg-nexus-4,,,,,
821,"For Sony Xperia X Compact",196,1/2/89/99/196/821,5,for-sony-xperia-x-compact,,,,,
822,"For Sony Xperia E5",196,1/2/89/99/196/822,5,for-sony-xperia-e5,,,,,
842,"For Nokia Lumia 925",195,1/2/89/99/195/842,5,for-nokia-lumia-925,,,,,
748,"For Samsung SM-G920F S6",191,1/2/89/99/191/748,5,for-samsung-sm-g920f-s6,,,,,
746,"For Samsung SM-G928F S6 Edge Plus",191,1/2/89/99/191/746,5,for-samsung-sm-g928f-s6-edge-plus,,,,,
662,"For HTC 8X",155,1/2/89/95/155/662,5,for-htc-8x,"This is a HTC 8X Screen Protector catalog,varying kind of selection. We pride ourselves in offering the good quality parts at appropriate prices.We believe in here you can find your precious phone a good item. If you have special demands,please feel free to contact us.We will do our best to fulfill you.","HTC 8X","9h/super glass/tempered glass/flexible/2.5D/3D/full cover/black/crystal clear/white/samsung screen protector/iphone glass/huawei/mi/sony/htc/oneplus/anti-scretch/super strength/0.33mm/0.2mm/ultra thin/ultra strong","This is a HTC 8X Screen Protector catalog,vary kind of selection.(9h/super glass/tempered glass/flexible/2.5D/3D/full cover/black/crystal clear/white/samsung screen protector/iphone glass/huawei/mi/sony/htc/oneplus/anti-scretch/super strength/0.33mm/0.2mm/ultra thin/ultra strong) We pride ourselves in offering the good quality parts at appropriate prices.We believe in here you can find your precious phone a good item. If you have special demands,please feel free to contact us.We will do our best to fulfill you.",
663,"For HTC Desire 500",155,1/2/89/95/155/663,5,for-htc-desire-500,"This is a HTC Desire 500 Screen Protector catalog,varying kind of selection. We pride ourselves in offering the good quality parts at appropriate prices.We believe in here you can find your precious phone a good item. If you have special demands,please feel free to contact us.We will do our best to fulfill you.","HTC Desire 500","9h/super glass/tempered glass/flexible/2.5D/3D/full cover/black/crystal clear/white/samsung screen protector/iphone glass/huawei/mi/sony/htc/oneplus/anti-scretch/super strength/0.33mm/0.2mm/ultra thin/ultra strong","This is a HTC Desire 500 Screen Protector catalog,vary kind of selection.(9h/super glass/tempered glass/flexible/2.5D/3D/full cover/black/crystal clear/white/samsung screen protector/iphone glass/huawei/mi/sony/htc/oneplus/anti-scretch/super strength/0.33mm/0.2mm/ultra thin/ultra strong) We pride ourselves in offering the good quality parts at appropriate prices.We believe in here you can find your precious phone a good item. If you have special demands,please feel free to contact us.We will do our best to fulfill you.",
664,"For HTC 8S",155,1/2/89/95/155/664,5,for-htc-8s,"This is a HTC 8S Screen Protector catalog,varying kind of selection. We pride ourselves in offering the good quality parts at appropriate prices.We believe in here you can find your precious phone a good item. If you have special demands,please feel free to contact us.We will do our best to fulfill you.","HTC 8S","9h/super glass/tempered glass/flexible/2.5D/3D/full cover/black/crystal clear/white/samsung screen protector/iphone glass/huawei/mi/sony/htc/oneplus/anti-scretch/super strength/0.33mm/0.2mm/ultra thin/ultra strong","This is a HTC 8S Screen Protector catalog,vary kind of selection.(9h/super glass/tempered glass/flexible/2.5D/3D/full cover/black/crystal clear/white/samsung screen protector/iphone glass/huawei/mi/sony/htc/oneplus/anti-scretch/super strength/0.33mm/0.2mm/ultra thin/ultra strong) We pride ourselves in offering the good quality parts at appropriate prices.We believe in here you can find your precious phone a good item. If you have special demands,please feel free to contact us.We will do our best to fulfill you.",
665,"For LG G5",160,1/2/89/95/160/665,5,for-lg-g5,"This is a LG G5 Screen Protector catalog,varying kind of selection. We pride ourselves in offering the good quality parts at appropriate prices.We believe in here you can find your precious phone a good item. If you have special demands,please feel free to contact us.We will do our best to fulfill you.","LG G5","9h/super glass/tempered glass/flexible/2.5D/3D/full cover/black/crystal clear/white/samsung screen protector/iphone glass/huawei/mi/sony/htc/oneplus/anti-scretch/super strength/0.33mm/0.2mm/ultra thin/ultra strong","This is a LG G5 Screen Protector catalog,vary kind of selection.(9h/super glass/tempered glass/flexible/2.5D/3D/full cover/black/crystal clear/white/samsung screen protector/iphone glass/huawei/mi/sony/htc/oneplus/anti-scretch/super strength/0.33mm/0.2mm/ultra thin/ultra strong) We pride ourselves in offering the good quality parts at appropriate prices.We believe in here you can find your precious phone a good item. If you have special demands,please feel free to contact us.We will do our best to fulfill you.",2336
685,"For Sony Xperia M5",161,1/2/89/95/161/685,5,for-sony-xperia-m5,"This is a Sony Xperia M5 Screen Protector catalog,varying kind of selection. We pride ourselves in offering the good quality parts at appropriate prices.We believe in here you can find your precious phone a good item. If you have special demands,please feel free to contact us.We will do our best to fulfill you.","Sony Xperia M5","9h/super glass/tempered glass/flexible/2.5D/3D/full cover/black/crystal clear/white/samsung screen protector/iphone glass/huawei/mi/sony/htc/oneplus/anti-scretch/super strength/0.33mm/0.2mm/ultra thin/ultra strong","This is a Sony Xperia M5 Screen Protector catalog,vary kind of selection.(9h/super glass/tempered glass/flexible/2.5D/3D/full cover/black/crystal clear/white/samsung screen protector/iphone glass/huawei/mi/sony/htc/oneplus/anti-scretch/super strength/0.33mm/0.2mm/ultra thin/ultra strong) We pride ourselves in offering the good quality parts at appropriate prices.We believe in here you can find your precious phone a good item. If you have special demands,please feel free to contact us.We will do our best to fulfill you.",
686,"For Sony Xperia Z5 Premium",161,1/2/89/95/161/686,5,for-sony-xperia-z5-premium,"This is a Sony Xperia Z5 Premium Screen Protector catalog,varying kind of selection. We pride ourselves in offering the good quality parts at appropriate prices.We believe in here you can find your precious phone a good item. If you have special demands,please feel free to contact us.We will do our best to fulfill you.","Sony Xperia Z5 Premium ","9h/super glass/tempered glass/flexible/2.5D/3D/full cover/black/crystal clear/white/samsung screen protector/iphone glass/huawei/mi/sony/htc/oneplus/anti-scretch/super strength/0.33mm/0.2mm/ultra thin/ultra strong","This is a Sony Xperia Z5 Premium Screen Protector catalog,vary kind of selection.(9h/super glass/tempered glass/flexible/2.5D/3D/full cover/black/crystal clear/white/samsung screen protector/iphone glass/huawei/mi/sony/htc/oneplus/anti-scretch/super strength/0.33mm/0.2mm/ultra thin/ultra strong) We pride ourselves in offering the good quality parts at appropriate prices.We believe in here you can find your precious phone a good item. If you have special demands,please feel free to contact us.We will do our best to fulfill you.",
696,"For Sony Xperia Z1",161,1/2/89/95/161/696,5,for-sony-xperia-z1,"This is a Sony Xperia Z1 Screen Protector catalog,varying kind of selection. We pride ourselves in offering the good quality parts at appropriate prices.We believe in here you can find your precious phone a good item. If you have special demands,please feel free to contact us.We will do our best to fulfill you.","Sony Xperia Z1","9h/super glass/tempered glass/flexible/2.5D/3D/full cover/black/crystal clear/white/samsung screen protector/iphone glass/huawei/mi/sony/htc/oneplus/anti-scretch/super strength/0.33mm/0.2mm/ultra thin/ultra strong","This is a Sony Xperia Z1 Screen Protector catalog,vary kind of selection.(9h/super glass/tempered glass/flexible/2.5D/3D/full cover/black/crystal clear/white/samsung screen protector/iphone glass/huawei/mi/sony/htc/oneplus/anti-scretch/super strength/0.33mm/0.2mm/ultra thin/ultra strong) We pride ourselves in offering the good quality parts at appropriate prices.We believe in here you can find your precious phone a good item. If you have special demands,please feel free to contact us.We will do our best to fulfill you.",
724,"For Huawei Y6 2016",163,1/2/89/95/163/724,5,for-huawei-y6-2016,,,,,1696/1918
744,"For Samsung SM-G935F S7 Edge",191,1/2/89/99/191/744,5,for-samsung-sm-g935f-s7-edge,,,,,
745,"For Samsung SM-G930F S7",191,1/2/89/99/191/745,5,for-samsung-sm-g930f-s7,,,,,
846,"For Nokia Lumia 800",195,1/2/89/99/195/846,5,for-nokia-lumia-800,,,,,
230,"For iPhone",90,1/2/90/230,3,for-iphone,"The iPhone parts here are completed includes: iPhone LCD display screen, iPhone LCD display screen with frame, iPhone charger flex, iPhone battery, iPhone Home bottom, iPhone back light ic and iPhone back camera. Our iPhone parts are original new and can be used for iPhone assembly or iPhone repair. As one of the best iPhone parts suppliers in China, Aswanu provides good quality parts for iPhone repair in competitive price.  ","Wholesale iPhone Spare Parts and Accessories Supplier - Aswanu","Aswanu, Mobile Phone Parts Store, Mobile Phone Accessories, Buy Mobile Phones Accessories Online, iPhone Spare Parts, iPhone spare parts Supplier, iPhone Accessories","We are wholesale supplier of apple iphone  spare parts & accessories at bulk price, Get replacement parts for iphone 4, iphone 5, iphone6, iphone7, iphone 8 and iphone X.",
524,"For HTC 8S",156,1/2/89/94/156/524,5,for-htc-8s,"This is a HTC 8S bag&case catalog,contains all the main models of HTC 8S's bag or case in the market.Here you can find leather case/silicone case/colorful case/clear case/PU case/plastic case or other kind you like.We provide those with good quality and good price.If you want more,we also have wholesale price.For further details please feel free to ask the sales or leave your email address,we will give you the precise price for the products.","HTC 8S bag&case","htc fashion case/htc wallet case/functional case/leather case/silicone case/colorful case/clear case/pu case/plastic case/slim or other kind you like.","This HTC 8S bag&case catalog contains all the main model of HTC 8S's bag or case in the market. leather case/silicone case/colorful case/clear case/pu case/plastic case or other kind you like.you can find other phone accessories in other catalogs:usb/cable/screen protector/headphone/glass ect.all products are good,not only the price but also the quality.
we choose or produce products very careful,first the quality must nice,the price must keep relatively low!
But if you have specific demonds,we will find a way to fulfill you.we do retail,we do wholesale,different quantity different price.promotion is very common here.",
840,"For Nokia Lumia 1020",195,1/2/89/99/195/840,5,for-nokia-lumia-1020,,,,,
839,"For Nokia Lumia 1320",195,1/2/89/99/195/839,5,for-nokia-lumia-1320,,,,,
832,"For Sony Xperia M2",196,1/2/89/99/196/832,5,for-sony-xperia-m2,,,,,
385,"For Sony Xperia Z1",122,1/2/90/122/385,4,for-sony-xperia-z1,,,,,924/925/926/927/928/944/945/959/969/988/1310/2068/2607
794,"For HTC One Mini",192,1/2/89/99/192/794,5,for-htc-one-mini,,,,,
791,"For HTC One SV",192,1/2/89/99/192/791,5,for-htc-one-sv,,,,,
